id,day,pressure,maxtemp,temparature,mintemp,dewpoint,humidity,cloud,sunshine,winddirection,windspeed,rainfall
1732,273,1015.6,28.2,26.6,25.4,25.4,87.0,82.0,0.3,80.0,25.1,1
180,181,1008.4,29.0,28.2,26.8,25.0,84.0,88.0,0.5,190.0,19.8,1
183,184,1006.7,31.2,28.4,26.8,25.2,79.0,78.0,4.4,220.0,16.3,1
713,349,1022.7,15.8,15.2,14.0,11.4,89.0,88.0,0.3,70.0,39.5,1
1147,53,1022.6,16.4,15.3,14.2,13.6,93.0,93.0,0.2,20.0,17.3,1
336,337,1020.8,21.4,18.9,17.2,14.9,75.0,69.0,7.7,40.0,18.0,0
1050,321,1020.8,18.9,17.3,16.4,13.3,78.0,86.0,2.2,70.0,39.7,0
2144,320,1021.5,21.1,17.7,15.6,11.2,77.0,89.0,0.3,40.0,14.1,1
678,314,1017.5,21.1,20.9,19.2,18.8,91.0,88.0,0.0,50.0,31.8,1
712,348,1023.9,17.6,15.2,11.5,13.6,93.0,88.0,0.2,40.0,17.3,1
2165,341,1019.8,16.5,15.2,13.8,11.2,76.0,93.0,0.1,20.0,39.5,1
857,128,1005.9,28.5,27.7,26.0,24.3,87.0,89.0,1.2,50.0,29.8,1
1527,68,1014.5,16.3,15.3,14.6,13.3,92.0,99.0,0.0,70.0,34.0,1
1136,42,1024.2,24.0,18.3,15.3,6.8,77.0,75.0,5.7,60.0,21.6,0
761,32,1023.6,15.1,13.7,11.5,11.8,89.0,95.0,0.0,40.0,18.2,1
318,319,1019.7,22.1,20.6,19.3,19.1,90.0,87.0,0.0,50.0,29.8,1
84,85,1008.1,28.1,25.1,23.8,22.8,86.0,83.0,4.4,90.0,17.2,1
309,310,1017.5,25.3,21.6,19.7,19.6,82.0,84.0,0.1,70.0,43.8,0
454,90,1013.9,24.6,23.1,22.3,20.9,93.0,85.0,0.1,40.0,20.0,1
1162,68,1020.9,22.8,18.6,16.9,13.0,73.0,19.0,2.4,20.0,14.8,0
1657,198,1008.8,33.3,30.1,27.9,24.3,75.0,48.0,10.1,220.0,15.8,0
1417,323,1018.9,19.3,17.3,16.1,12.9,78.0,95.0,0.0,60.0,37.9,1
1337,243,1008.9,31.2,28.3,26.7,25.3,83.0,85.0,2.2,240.0,39.7,1
